,AICW_score,AICW_rank,FUCOM_score,FUCOM_rank,LBWA_score,LBWA_rank,MEREC_score,MEREC_rank,SD_score,SD_rank
96503,0.3059637579016151,38.0,0.26967850987624675,56.0,0.2868168297411883,35.0,0.14104695306574755,49.0,0.2094348208504317,144.0
96498,0.33070170277136646,23.0,0.29155657423815967,41.0,0.3118274851706766,26.0,0.1954191931126398,30.0,0.22263496894624146,134.0
96502,0.3552777393953591,16.0,0.3159073222388113,31.0,0.32123059629483686,22.0,0.15600286555767762,42.0,0.23641187498706862,109.0
96541,0.11740486067626756,212.0,0.18075639932710258,182.0,0.12988690483673418,206.0,0.14543401584254687,46.0,0.15736099582560595,196.0
96540,0.2181812526484342,149.0,0.2947034188142234,40.0,0.23409977525310888,83.0,0.21579004625745857,26.0,0.23087232501726895,118.0
96537,0.2685034765004802,83.0,0.286552051208078,43.0,0.2529517051591832,57.0,0.15064297341396166,44.0,0.22335285258340765,132.0
96532,0.2231448008959771,137.0,0.3012168557312834,36.0,0.23969063410248273,71.0,0.2318137846725713,22.0,0.23468182914717362,114.0
96531,0.2231448008959771,137.0,0.3012168557312834,36.0,0.23969063410248273,71.0,0.2318137846725713,22.0,0.23468182914717362,114.0
96510,0.2726401325349754,79.0,0.2908062901768256,42.0,0.2570993830712043,53.0,0.15986143508454737,41.0,0.2258789272562946,129.0
96509,0.10868444588475994,213.0,0.17307361306814448,191.0,0.1246227097510498,207.0,0.1873856216981494,33.0,0.15538193559999142,197.0
95813,0.21879329701216726,148.0,0.3255796130958727,28.0,0.25046754252065706,58.0,0.2263910199188839,24.0,0.26336801498165935,72.0
95811,0.3730779678642411,12.0,0.4545193010859352,10.0,0.38571780832470703,9.0,0.2694366277142897,16.0,0.6027108644549708,6.0
95809,0.28415096951873225,62.0,0.4276224828612743,13.0,0.3289884956469291,20.0,0.32000813363381203,12.0,0.4955426406072517,16.0
95816,0.2873017076444877,59.0,0.43256189921074506,12.0,0.33329766587134285,18.0,0.3367251751112387,10.0,0.5007158309076682,15.0
157209,0.26676688193878595,86.0,0.1723004061700189,193.0,0.181452144158298,162.0,0.1040955034271801,71.0,0.11781958810175762,208.0
157210,0.17561293722010116,191.0,0.16748198909555642,197.0,0.14130687236554998,202.0,0.02720010980937872,209.0,0.14647654814574143,199.0
117153,0.29568166772325793,50.0,0.2745231582220048,50.0,0.266501266189581,47.0,0.12263028318843598,54.0,0.2944898439777694,47.0
146775,0.4214830179095027,6.0,0.5730147428729669,2.0,0.4733157280380893,4.0,0.4354748626577396,4.0,0.6881434241586286,2.0
146756,0.16320724469753234,198.0,0.2278251967999347,105.0,0.17093529570381238,178.0,0.09844696286860835,75.0,0.2164472167121533,138.0
146252,0.24500145156800224,113.0,0.25501964238822306,67.0,0.21500626045039878,107.0,0.10881647995116263,65.0,0.34985223222950323,31.0
105722,0.2132724440341854,157.0,0.20361795376225497,152.0,0.19515112745474367,142.0,0.19854523883328704,29.0,0.2355456028175792,111.0
117152,0.20021803710267394,170.0,0.20471403401850033,151.0,0.17951446147083225,165.0,0.04345991617030427,189.0,0.20012338798406087,163.0
