projectId,trlCurrent,duration_months,trl_gap,primaryTxLevel,otherOrgCount
10960,5.0,65.46666666666667,,3,1
94345,4.0,37.96666666666667,0.0,3,3
96310,4.0,41.0,0.0,2,3
10953,5.0,39.56666666666667,,3,2
10948,6.0,25.333333333333332,0.0,3,1
34756,5.0,44.93333333333333,0.0,3,2
34346,4.0,38.53333333333333,0.0,3,2
17500,4.0,54.1,0.0,3,2
18867,5.0,52.733333333333334,0.0,3,2
17499,4.0,43.13333333333333,0.0,3,2
13641,6.0,53.86666666666667,0.0,3,2
11004,5.0,37.5,2.0,3,2
11000,6.0,61.1,,3,2
10981,4.0,43.63333333333333,,3,2
10979,3.0,36.46666666666667,,3,2
10978,,24.333333333333332,,3,1
10963,5.0,57.333333333333336,0.0,3,2
10956,5.0,38.53333333333333,,3,2
10480,4.0,39.53333333333333,1.0,3,2
10476,4.0,48.666666666666664,0.0,3,3
92760,7.0,32.43333333333333,0.0,3,1
92033,4.0,31.133333333333333,0.0,3,1
91967,3.0,18.233333333333334,,3,1
91951,3.0,38.46666666666667,0.0,3,1
15097,4.0,60.833333333333336,0.0,3,2
34757,6.0,59.833333333333336,0.0,3,2
17477,5.0,70.7,0.0,3,3
15098,6.0,39.56666666666667,0.0,3,2
11035,,27.4,,3,1
11027,6.0,43.333333333333336,0.0,3,2
10999,6.0,40.56666666666667,1.0,3,2
10994,,36.5,,3,2
10988,,41.53333333333333,,3,2
10973,,24.333333333333332,,3,2
10968,5.0,49.666666666666664,0.0,3,2
10477,5.0,29.366666666666667,,3,2
11846,4.0,11.1,,3,1
10954,5.0,56.0,,3,1
10967,5.0,39.6,1.0,3,2
10996,4.0,48.7,,3,1
91917,4.0,82.66666666666667,0.0,3,1
15090,6.0,38.96666666666667,0.0,3,2
92788,5.0,30.4,0.0,3,1
96946,3.0,48.666666666666664,1.0,2,2
11860,6.0,36.46666666666667,0.0,3,3
96411,4.0,46.666666666666664,0.0,2,5
96410,5.0,52.733333333333334,0.0,2,3
96409,4.0,59.8,0.0,2,3
96401,4.0,54.766666666666666,0.0,2,4
96399,4.0,55.766666666666666,1.0,2,5
96398,4.0,65.93333333333334,1.0,2,4
96397,4.0,61.266666666666666,1.0,2,2
96936,4.0,36.46666666666667,0.0,2,2
40834,5.0,24.3,,3,2
94346,4.0,54.2,0.0,3,4
94337,3.0,56.333333333333336,0.0,3,3
94344,4.0,59.86666666666667,0.0,3,4
94340,3.0,36.5,0.0,3,2
91897,6.0,51.63333333333333,0.0,3,1
96942,4.0,46.233333333333334,0.0,2,6
106639,4.0,52.666666666666664,3.0,3,3
117090,3.0,52.733333333333334,2.0,3,8
93023,5.0,12.133333333333333,1.0,3,5
93284,3.0,24.3,0.0,3,2
94853,1.0,12.133333333333333,0.0,2,1
96759,4.0,36.46666666666667,0.0,3,1
146878,3.0,12.133333333333333,0.0,1,1
95916,2.0,24.333333333333332,0.0,3,1
94847,5.0,12.133333333333333,0.0,3,1
117093,2.0,57.8,1.0,3,6
147022,5.0,12.133333333333333,0.0,1,4
117419,7.0,12.133333333333333,0.0,3,1
96770,5.0,73.03333333333333,0.0,1,1
154830,4.0,97.36666666666666,2.0,1,2
157150,,8.733333333333333,,3,2
95606,3.0,34.333333333333336,0.0,3,2
4815,4.0,23.333333333333332,0.0,2,1
117531,,4.0,,3,2
117520,,16.233333333333334,,3,2
117523,,6.733333333333333,,2,3
117534,,8.533333333333333,,3,2
117543,,2.8333333333333335,,3,2
117528,,13.033333333333333,,3,2
117550,,8.966666666666667,,2,2
117551,,12.6,,3,2
117537,,8.4,,3,2
106557,4.0,21.3,0.0,3,4
117539,4.0,24.733333333333334,0.0,3,3
117522,,25.466666666666665,,2,2
95586,3.0,14.766666666666667,0.0,3,5
94154,3.0,10.8,0.0,3,6
91402,4.0,7.6,0.0,3,21
117518,,6.966666666666667,,3,2
10935,5.0,6.133333333333334,0.0,1,5
117536,,6.0,,3,2
117548,,4.4,,3,2
106556,5.0,7.933333333333334,0.0,3,17
117546,,7.066666666666666,,3,2
117540,,3.1666666666666665,,3,2
91410,5.0,4.933333333333334,0.0,3,8
117542,,8.4,,3,2
117538,,3.6,,3,2
117535,,8.933333333333334,,3,2
117541,,5.933333333333334,,3,3
106559,3.0,6.633333333333334,0.0,3,6
117533,,4.4,,3,2
117549,,13.3,,2,2
117532,,5.133333333333334,,3,2
