,AICW_score,AICW_rank,FUCOM_score,FUCOM_rank,LBWA_score,LBWA_rank,MEREC_score,MEREC_rank,SD_score,SD_rank
116091,152356769.63451475,192.0,215592732.92081678,108.0,173888453.02066267,152.0,214048928.9295549,11.0,177863148.5481425,170.0
96503,180423864.11453214,153.0,160287729.33823666,199.0,170928832.60388702,159.0,91899043.04416315,78.0,138014973.13426155,201.0
96498,184717288.85979125,148.0,164534463.54975373,196.0,175764581.53335088,149.0,110064802.81459352,48.0,141686918.66388637,199.0
96502,206702979.47351247,113.0,186526864.3704356,158.0,188868564.06829152,127.0,96404757.89189082,68.0,155791421.6466384,186.0
96541,117402799.96190076,212.0,180352480.72587293,171.0,129872167.51058409,206.0,145069284.7133656,30.0,155438536.50004888,187.0
96540,139176162.13461113,206.0,185560759.5036768,161.0,148462187.45017946,188.0,149413105.91226557,29.0,157947897.0417095,184.0
96537,158678112.96867207,186.0,171626228.5078896,186.0,149236181.259003,185.0,92482654.32968676,75.0,147987181.1826634,193.0
96532,139913266.31773373,204.0,186291032.99182814,159.0,149236181.259003,185.0,152017427.2049165,26.0,158555647.56557962,182.0
96531,139913266.31773373,204.0,186291032.99182814,159.0,149236181.259003,185.0,152017427.2049165,26.0,158555647.56557962,182.0
96510,159415217.15179464,185.0,172356501.9960409,185.0,150010175.06782654,184.0,95086975.6223377,70.0,148594931.7065335,192.0
96509,108676971.0423822,213.0,171626228.5078896,186.0,124565128.60275297,207.0,149518618.05621344,28.0,149797828.83246627,190.0
95813,148995320.78888774,196.0,224440094.3036888,86.0,173009164.47041407,154.0,164507309.98675588,23.0,215250637.27809688,118.0
95811,212585572.17392245,107.0,261809086.44595644,24.0,222249323.28433448,59.0,169324613.26429543,20.0,341905883.19069123,16.0
95809,170340751.61464795,170.0,249218092.69712034,42.0,196456859.1437095,112.0,195151155.77378887,16.0,280595262.1807209,43.0
95816,170239496.56880367,171.0,249111095.018618,43.0,196667426.1148225,110.0,197693068.087608,15.0,280639488.7005919,42.0
157209,198326289.8684871,124.0,165965104.43090925,193.0,162522821.64639023,172.0,84149896.37617408,84.0,116796383.04643503,208.0
157210,171056935.76757374,165.0,167126387.19663423,192.0,140708743.68921673,199.0,27200071.655771825,209.0,145140048.7444663,196.0
117153,240193527.01529187,64.0,223316204.91425344,89.0,219579924.18231246,64.0,121764251.31251583,34.0,227162734.93645892,102.0
146775,246991402.52539003,54.0,329924830.08784527,1.0,277672461.31348914,8.0,291546765.2619641,3.0,386806911.6142029,1.0
146756,145249701.08399308,200.0,203836737.55379507,132.0,153645150.72199517,181.0,98024394.61997528,67.0,201565059.8296499,135.0
146252,220514198.12103677,89.0,252853075.86665133,35.0,211288323.67904082,81.0,108809649.72527069,50.0,336292015.5053072,18.0
105722,193561868.27682224,133.0,201279058.66223937,136.0,189175256.4849593,126.0,198108028.86417717,14.0,234832063.98399332,92.0
117152,195895140.97242394,129.0,204459280.61414883,128.0,178988250.68848917,142.0,43459518.07398197,189.0,200078055.63892305,139.0
146521,195587961.15408754,131.0,224164639.69646248,87.0,183966652.81535915,135.0,69894857.07352692,108.0,263216211.1981471,57.0
106579,205262349.18139645,117.0,182330470.42745835,168.0,196497404.40855822,111.0,55155435.06216897,143.0,204955570.42285237,131.0
96293,215872675.8460468,101.0,179416165.8738856,175.0,180629411.0559221,140.0,43668114.79399476,188.0,160139557.05767027,181.0
96296,262891511.27612698,32.0,193312076.3364472,150.0,219585681.65995795,63.0,47515327.58160062,162.0,167267568.71684626,175.0
96299,287742156.25402236,15.0,218095224.6928155,101.0,237958478.45844582,38.0,64661954.12170877,117.0,184645273.42417896,161.0
96303,220958721.83511254,88.0,184495610.95158434,163.0,184047533.87136596,134.0,44046729.2655746,184.0,163558269.3485983,180.0
91952,186376651.53530034,146.0,178428067.92166886,176.0,175991068.48253277,148.0,40375017.340460934,196.0,181329244.72394124,167.0
33098,227131436.2477755,82.0,219124085.09808734,98.0,203659303.34473914,97.0,45958327.22268503,173.0,208835874.37203637,125.0
96297,256036590.51959053,48.0,226070657.9068537,83.0,223950430.43081814,57.0,93798791.43224955,73.0,282965192.30304414,38.0
92791,214444485.14836144,105.0,226465739.9528156,82.0,200317769.16808358,101.0,71472093.63481314,106.0,263652658.80553994,56.0
34758,216931398.96201172,100.0,208937285.90380138,121.0,196804276.81926098,109.0,45199017.98023097,176.0,201979665.65671363,133.0
94898,306805218.9849699,7.0,232570660.0345449,68.0,271918464.73337036,10.0,52583478.9605779,152.0,213436853.08853668,120.0
96309,141268188.5365345,203.0,137988027.63615316,207.0,122298106.7373769,208.0,30119026.36912574,208.0,134132300.63917702,204.0
33097,214807555.58196232,104.0,206816198.94827884,124.0,195376928.83039433,116.0,45040915.23385698,177.0,200552071.5132492,137.0
10989,293795064.0679316,11.0,276445981.8910065,12.0,271572647.7022441,11.0,114785378.38717733,41.0,348834270.14053506,11.0
34775,232144172.49862918,76.0,224124441.53617227,88.0,207306774.02588645,88.0,48880934.30737835,160.0,212317597.316302,121.0
91932,147741408.39488894,197.0,172904869.1256437,183.0,142669066.2556023,195.0,37151894.34117348,204.0,179836473.1047565,168.0
34767,189667523.46325853,141.0,201715060.93580768,135.0,183944806.21591654,136.0,72177101.67168176,104.0,247110495.4743699,71.0
11838,264519885.29503924,29.0,243408374.13127026,51.0,241606847.8319421,33.0,78096292.5565047,89.0,272947504.06631696,47.0
92764,235828560.98428047,72.0,251628360.26895615,37.0,224701666.21443224,56.0,105024301.55346982,55.0,334122936.1884287,22.0
15873,196531324.39048418,128.0,188563687.5152294,157.0,183094223.76830468,137.0,43680399.495322876,187.0,188267248.2260682,156.0
96314,163142805.7550892,180.0,143303304.09245938,205.0,140677559.70585927,200.0,31920935.25420658,207.0,136597434.66096672,202.0
96938,191143474.03067377,139.0,241128657.77530172,54.0,212394795.81544626,76.0,245075100.4763837,7.0,240780546.68804497,78.0
91949,174757962.21777385,160.0,183355408.7374256,166.0,164504203.82870933,168.0,39336578.29642293,198.0,185757887.6844075,158.0
91984,161679558.24589047,181.0,170293978.53762877,188.0,155714745.160425,180.0,38362998.22664623,199.0,176966913.2220211,172.0
11859,207161286.0410342,112.0,219186119.2799804,97.0,195701646.22947636,114.0,73479369.02997282,102.0,258869363.02448505,60.0
40857,299724529.9693312,9.0,225505034.71871433,85.0,266881207.8525371,15.0,49506929.728099376,158.0,208565104.2677399,126.0
40846,331329914.0260014,2.0,280876089.69333047,11.0,303876504.4906766,1.0,115377136.20298675,38.0,349475097.5007834,10.0
11036,191142550.1433455,140.0,217102065.83363608,104.0,193438086.02294955,119.0,108534049.00547343,51.0,215414698.43059132,117.0
34771,206302549.94048795,115.0,216419474.76825345,106.0,190396872.70428482,121.0,59984723.78362089,128.0,230356210.3003014,96.0
11861,251047289.26767293,50.0,228050114.6037987,79.0,227546200.29702777,51.0,61113198.81738411,122.0,235843344.09494224,90.0
92790,201670521.81180087,122.0,211805206.3975554,113.0,186726643.99792805,130.0,54541007.37805241,147.0,227018102.17083114,103.0
92796,267049424.35625577,26.0,244037355.40983182,50.0,238021962.34782457,37.0,59754976.802075565,134.0,246487289.51758808,72.0
10472,184941376.61323634,147.0,194028720.0538243,149.0,173259644.30441257,153.0,49516687.5344817,157.0,200415422.2648261,138.0
10469,187624126.14593038,145.0,196707987.78711602,146.0,175062610.18508625,150.0,49716396.26674359,156.0,202218699.0776233,132.0
92784,236666920.21324736,71.0,252465631.43560976,36.0,225265093.05214277,55.0,105086710.53230166,54.0,334686460.1924278,21.0
18871,238488887.84457353,65.0,214450707.13923287,109.0,216324953.69311613,69.0,51300456.845979236,154.0,211819558.1014578,122.0
92771,226283779.17831403,84.0,219855568.6649302,95.0,206946624.63626483,90.0,56546785.59398393,140.0,231324081.27235135,95.0
10482,179956585.67001477,155.0,189056272.6546279,155.0,169630954.51785564,161.0,46596160.74908277,167.0,196952483.4540271,144.0
10974,213596177.40173802,106.0,206121254.48297355,125.0,195917164.10887584,113.0,49273875.63710376,159.0,207325737.66527125,128.0
34759,238369636.0087535,66.0,233823014.72503045,64.0,220353917.99113598,61.0,75976097.87938148,94.0,267608397.62413174,52.0
92779,262158995.52061564,36.0,239153273.6043522,56.0,234735305.79451314,39.0,59390924.4255565,135.0,243200066.16092652,73.0
15099,229378717.55646673,79.0,205352360.4615966,126.0,210202382.0566617,84.0,50622279.276006564,155.0,205695930.59133396,130.0
10479,151682493.0036796,194.0,177349826.29286554,177.0,146950676.68818286,191.0,44317863.32558555,182.0,190185782.8683774,152.0
91960,263810726.4195489,31.0,242706009.6820074,52.0,240851634.9177089,34.0,75494051.56314816,95.0,272358537.6759136,48.0
40865,262598333.44106025,33.0,221488924.0226657,92.0,234573373.93348557,40.0,46396142.890709214,169.0,208086675.85575354,127.0
11029,226756862.1884905,83.0,242562561.10725984,53.0,218883566.0220425,65.0,106898437.79378824,53.0,328137455.8655089,24.0
10951,257865944.3299369,44.0,234859920.09258166,63.0,232128738.57707345,47.0,61620791.8452164,121.0,240426672.66080183,79.0
92787,214854148.35673213,103.0,208440771.75955224,122.0,199265238.74881124,104.0,55695943.182576515,142.0,223641370.68449658,106.0
34760,236717905.10982022,70.0,230270278.64737526,74.0,214237588.86794025,74.0,59872970.74178982,131.0,238449926.1091447,86.0
92766,305755990.0153078,8.0,271872181.62669677,14.0,282732282.88679343,7.0,110750394.30004911,46.0,344411094.80766004,13.0
11001,291279986.3810309,13.0,273934168.39104563,13.0,269882367.18911254,13.0,114598151.45068182,42.0,347143698.12853765,12.0
96300,251868819.87990734,49.0,200296407.8408746,138.0,211756429.94426098,80.0,53597722.941358246,149.0,193242323.27978393,148.0
96311,260972097.22975123,39.0,209376122.4337254,118.0,218431601.7850739,67.0,59374287.23402986,136.0,199585892.7639162,141.0
96313,178661971.50658685,156.0,160217102.24731147,200.0,156593352.06725746,179.0,60548276.67129918,125.0,169072825.56412277,174.0
11837,197387010.8895962,125.0,206881123.76842427,123.0,182736348.54917446,138.0,53994311.81563488,148.0,215014002.51095882,119.0
11843,272417905.0326369,22.0,232227660.7657006,69.0,243918178.38209552,28.0,57550865.822091706,138.0,228620294.5008473,98.0
11847,220173297.07532978,90.0,213112760.03099796,110.0,201449880.48966402,100.0,53314637.066434056,150.0,217979649.8834101,112.0
96308,250507772.4678457,52.0,197481234.62516415,144.0,207306042.30272052,89.0,43870486.94561729,186.0,171069677.01997587,173.0
18708,267880890.64695966,24.0,244855994.49169996,47.0,239137989.38989356,36.0,64915772.50360636,116.0,247270755.4955956,70.0
34754,236857631.64798135,68.0,230409823.84181756,73.0,214331493.340892,72.0,59883372.2382618,129.0,238543846.77647784,85.0
13646,261637574.9440773,37.0,237992272.74811098,57.0,232994740.56598252,45.0,56574835.75688555,139.0,233612461.46531272,93.0
92792,210671868.6180105,108.0,222698019.7028742,91.0,197782348.39838618,106.0,71191253.23006986,107.0,261116800.7875439,59.0
18727,202462530.69397733,121.0,211955930.36907154,112.0,185868780.815144,131.0,51822692.77621802,153.0,218313351.74814937,111.0
92782,173127502.25382793,162.0,199824308.12396002,140.0,164144247.77182618,169.0,54792140.47260793,146.0,220182923.3042526,110.0
34777,237805784.88790578,67.0,253591269.94525093,32.0,226587709.93470564,54.0,110270389.52607082,47.0,335676551.63856834,19.0
10964,222273138.81258935,86.0,217747408.32528052,103.0,209536122.70709372,86.0,74777845.48581015,100.0,256788736.7473485,63.0
94345,206640851.38070646,114.0,218660486.01815122,100.0,195630499.78173408,115.0,75990076.854376,93.0,258631827.54235643,61.0
96310,217667348.85975754,97.0,204270416.42157373,129.0,195042849.8583871,118.0,95867892.68617481,69.0,269637361.50994664,49.0
10948,256792268.11103755,47.0,232221344.92722097,70.0,226992935.35445505,52.0,45790406.099905305,174.0,216422418.57728046,115.0
34756,209861236.13105768,110.0,201876299.06502235,134.0,192052710.48790216,120.0,44672702.25874913,179.0,197227279.8896543,143.0
34346,183990439.9210942,150.0,192570030.0476671,152.0,170987589.59299958,158.0,42573310.57456985,190.0,192076014.78213543,150.0
17500,170939981.25684306,166.0,179536508.88675874,174.0,162216911.8193056,173.0,41601810.80408755,192.0,183303824.4532157,164.0
18867,203414840.3660975,118.0,195453314.39292145,147.0,187759927.65233952,129.0,44319146.335978314,181.0,193115899.72325516,149.0
17499,180226793.68882808,154.0,188826313.1088579,156.0,168497772.63811067,163.0,42419463.38406092,191.0,189767911.42853346,153.0
13641,233700995.18195325,74.0,209169211.5546525,119.0,211792429.89251757,79.0,46747225.308671944,166.0,201235057.91850278,136.0
11004,241128743.20285285,61.0,266866963.10069942,20.0,245684901.79262996,26.0,169337007.1613823,19.0,240352818.9495676,80.0
10963,199558387.91284987,123.0,191601867.0263147,153.0,185168164.1988711,133.0,44032065.033351846,185.0,190523689.30485916,151.0
10480,195716335.53752208,130.0,221170098.2766881,93.0,195197161.9101186,117.0,104677717.73178837,56.0,211122882.95895985,123.0
